,ANCILLARYROLE,ENABLED,FITTING_TYPE,FITTING_TYPE2,FACILITYID,LEGACYID,NODE_NO,FITTING_SIZE,MATERIAL,RIM_ELEVATION,INVERT,DEPTH,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
12315,,1,0,Cap,1001952606,,1279301966,150,DI,,,,In Service,,2017,Surrey,,FT02507,Final AB,,,,,,20171023,20171023,49.038609,-122.867575
12316,0,1,4,Tee,1000301545,9902,1279001549,,,74.75,,,In Service,,1951,Surrey,,,,,,,,,19900320,20171023,49.031366,-122.867644
12317,0,1,1,Cross,1000315416,2239,1279301565,,DI,74.75,,,In Service,,1985,Surrey,,,,,,,,,20040322,20171023,49.031366,-122.867594
12318,,1,0,Cap,1001144409,,1279401565,200,CAS,,,,In Service,1207-3660-00,2009,Surrey,,,Final AB,,,,,,20091223,20171023,49.031366,-122.867567
12319,,0,0,Cap,1001952612,,1279401565,200,,,,,Abandoned,,2017,Surrey,,FT02508,Final AB,,,,,,20171023,20171023,49.031366,-122.867584
12320,0,1,4,Tee,1000301820,9377,1280002649,,,51.15,,,In Service,,1984,Surrey,,,,,,,,,19900212,20171023,49.051266,-122.867312
12321,,1,0,Cap,1001952616,,1280202665,150,,,,,In Service,,2017,Surrey,,FT02509,,,,,,,20171023,20171023,49.051266,-122.867298
12322,0,1,4,Tee,1000302019,9358,1280002742,,,46.97,,,In Service,,1979,Surrey,,,,,,,,,19900209,20171023,49.052960,-122.867303
12323,0,1,4,Tee,1000302017,9353,1269802760,,CAS,38.07,,,Abandoned,,1964,Surrey,,,,,,,,,19900209,20171023,49.052989,-122.870145
12324,,0,0,Cap,1001952622,,1280102759,200,,,,,Abandoned,,,Surrey,,FT02510,,,,,,,20171023,20171023,49.052960,-122.867313
12325,0,1,4,Tee,1000302020,9359,1280002743,,,47.03,,,In Service,,1979,Surrey,,,,,,,,,19900209,20171023,49.052950,-122.867303
12326,,0,0,Cap,1001952623,,1280202758,200,,,,,Abandoned,,,Surrey,,FT02510,,,,,,,20171023,20171023,49.052950,-122.867291
12327,0,0,4,Tee,1000302029,9373,1280202742,,,47.03,,,Abandoned,,1979,Surrey,,,,,,,,,19900209,20171023,49.052950,-122.867245
12328,,0,4,Tee,1001924968,,1918806100,200,DI,,31.91,,In Service,1216-3300-00,,Surrey,,,EC,,,,,,20170329,20170606,49.113096,-122.691104
12329,,0,4,Tee,1001926297,,1426505708,300,DI,,,,In Service,,,Surrey,,,,,,,,,20170410,20170606,49.106284,-122.826827
12330,,1,0,Cap,1001928072,,1363506216,300,DI,,,,In Service,7806-0338-00,2008,Surrey,,,Final AB,,,,,,20170424,20170606,49.115492,-122.844165
12331,,1,1,Cross,1001931283,,1449510924,200,DI,,96.67,,In Service,1214-3210-00,2017,Surrey,,,Final AB,,,,,,20170515,20170606,49.200649,-122.820165
12332,,1,2,Reducer,1001931289,,1445010931,200,DI,,,,In Service,1214-3210-00,2017,Surrey,,200 X 150 Reducer,Final AB,,,,,,20170515,20170606,49.200786,-122.821408
12333,,1,2,Reducer,1001931346,,1454510923,200,DI,,97.49,,In Service,1214-3200-00,2017,Surrey,,200 X 100 Reducer,Final AB,,,,,,20170515,20170606,49.200638,-122.818773
12334,,1,4,Tee,1001931569,,1580310173,300,DI,,,,In Service,1214-3080-00,2017,Surrey,,,Final AB,,,,,,20170516,20170606,49.187006,-122.784086
12335,,1,2,Reducer,1001931571,,1580310199,200,DI,,,,In Service,1214-3080-00,2017,Surrey,,200 X 150 Reducer,Final AB,,,,,,20170516,20170606,49.187482,-122.784082
12336,,1,4,Tee,1001931788,,1377609037,200,DI,,,,In Service,1214-3090-00,2017,Surrey,,,Final AB,,,,,,20170518,20170606,49.166538,-122.840110
12337,,1,4,Tee,1001932058,,1461311066,200,DI,,90.3,,In Service,1214-3140-00,2017,Surrey,,,Final AB,,,,,,20170519,20170606,49.203216,-122.816881
12338,,1,4,Tee,1001932217,,1680208485,150,DI,,,,In Service,7891-0366-00,1995,Surrey,,,Final AB,,,,,,20170523,20170606,49.156397,-122.756676
12339,,1,0,Cap,1001932874,,1529602752,150,DI,,,,In Service,7813-0295-00,2017,Surrey,,,Final AB,,,,,,20170529,20170606,49.052743,-122.798627
12340,,1,0,Cap,1001932875,,1529702752,150,DI,,,,In Service,7813-0295-00,2017,Surrey,,,Final AB,,,,,,20170529,20170606,49.052732,-122.798613
