,PLAN_NO,PLAN_TYPE,YR
18245,LMP4025,Subdivision,1992
18246,LMP40286,Subdivision,1998
18247,LMP40322,Reference Plan,1998
18248,LMP40368,Subdivision,1998
18249,LMP40398,Subdivision,1998
18250,LMP4041,Subdivision,1992
18251,LMP40442,Subdivision,1998
18252,LMP40442,Subdivision,1998
18253,LMP40442,Subdivision,1998
18254,LMP40442,Subdivision,1998
18255,LMP40495,Subdivision,1998
18256,LMP40501,Subdivision,1998
18257,LMP40536,Subdivision,1998
18258,LMP4061,Subdivision,1992
18259,LMP40621,Subdivision,1999
18260,LMP40726,Subdivision,1999
18261,LMP40770,Subdivision,1999
18262,LMP40770,Subdivision,1999
18263,LMP40778,Subdivision,1999
18264,LMP40784,Subdivision,1999
18265,LMP40830,Reference Plan,1999
18266,LMP4088,Subdivision,1992
18267,LMP4088,Subdivision,1992
18268,LMP4088,Subdivision,1992
18269,LMP4096,Subdivision,1992
18270,LMP40969,Subdivision,1999
18271,LMP40969,Subdivision,1999
18272,LMP4099,Subdivision,1992
18273,LMP41082,Subdivision,1999
18274,LMP4111,Subdivision,1992
18275,LMP4111,Subdivision,1992
18276,LMP41130,Subdivision,1999
18277,LMP41130,Subdivision,1999
18278,LMP41130,Subdivision,1999
18279,LMP41132,Reference Plan,1999
18280,LMP41143,Subdivision,1999
18281,LMP41148,Subdivision,1999
18282,LMP4117,Subdivision,1992
18283,LMP4117,Subdivision,1992
18284,LMP41261,Subdivision,1999
18285,LMP41267,Subdivision,1999
18286,LMP41267,Subdivision,1999
18287,LMP41424,Subdivision,1999
18288,LMP41465,Subdivision,1999
18289,LMP41466,Subdivision,1999
18290,LMP41471,Subdivision,1999
18291,LMP41487,Subdivision,1999
18292,LMP41487,Subdivision,1999
18293,LMP41497,Subdivision,1999
18294,LMP41497,Subdivision,1999
18295,LMP41520,Subdivision,1999
18296,LMP41574,Subdivision,1999
18297,LMP41580,Subdivision,1999
18298,LMP41580,Subdivision,1999
18299,LMP4159,Subdivision,1992
18300,LMP4159,Subdivision,1992
18301,LMP41593,Subdivision,1999
18302,LMP41662,Subdivision,1999
18303,LMP41662,Subdivision,1999
18304,LMP41663,Subdivision,1999
18305,LMP41663,Subdivision,1999
18306,LMP41663,Subdivision,1999
18307,LMP41664,Subdivision,1999
18308,LMP41757,Subdivision,1999
18309,LMP41866,Subdivision,1999
18310,LMP41866,Subdivision,1999
18311,LMP4187,Subdivision,1992
18312,LMP41874,Subdivision,1999
18313,LMP41909,Subdivision,1999
18314,LMP41935,Subdivision,1999
18315,LMP41949,Subdivision,1999
