,ACCESSIBILITY,COMMENTS,CRE_DATE,MATERIAL,MOD_DATE,ROAD_CLASS,WEBLINK
684,,Parking Lot,20130118,,20170605,,
685,,,20160729,,,,
686,Open,,20131121,Asphalt,20160129,,
687,,,20141029,,20141029,,
688,,,20151201,,,Other,
689,,,20171012,,20171124,Lane,
690,,,20131203,,20121102,,
691,,,20160524,Gravel,20160901,Other,
692,Open,,20131203,,20131203,,
693,,,20151125,,20151125,Other,
694,Open,,20130814,,20130710,,
695,Open,,20131203,,20131121,,
696,,,20121219,,20151125,,
697,,,20180509,,20180509,Unknown,
698,,,20130320,,20140403,,
699,Open,,20131121,Asphalt,20160114,,
700,Open,,20130709,,20160208,,
701,Open,,20130709,Asphalt,20170125,,
702,,,20130118,,20160129,,
703,Open,Parking Lot,20121019,Asphalt,20170605,Other,
704,,,20121220,,20170810,,
705,,,20170822,,20170822,Ramp,
706,Open,,20120822,Asphalt,,,
707,Open,,20121219,,20141010,,
708,Open,,20121219,,20140716,,
709,Open,,20170822,Asphalt,20131203,,
710,Open,,20151207,Asphalt,20170823,Highway,
711,Open,,20160126,Asphalt,20160208,Highway,
712,,Parking Lot,20160202,,20170605,Other,
713,,,20141027,,20161031,Local,
