,ANCILLARYROLE,ENABLED,CHAMBER_TYPE,CHAMBER_TYPE2,FACILITYID,LEGACYID,NODE_NO,CHAMBER_DISCHARGE,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
40,,1,2,Valve,1000271391,4838,1479310011,,In Service,,,Surrey,,,,,,,,,20020425,20170413,49.184114,-122.811994
41,,1,2,Valve,1000271605,6137,1246909034,,In Service,,,Surrey,,,,,,,,,20020429,20170413,49.166524,-122.876189
42,,1,2,Valve,1000271626,6170,1276409211,,In Service,,,Surrey,,,,,,,,,20020429,20170413,49.169722,-122.868040
43,,1,2,Valve,1000271627,6171,1276409062,,In Service,,,Surrey,,,,,,,,,20020429,20170413,49.167030,-122.868043
44,,1,2,Valve,1000271750,6378,1211409063,,In Service,,,Metro Vancouver,,,,,,,,,20020429,20170413,49.167057,-122.885966
45,,1,2,Valve,1000272590,13545,1268706269,,In Service,,,Metro Vancouver,,,,,,,,,20020502,20170413,49.116486,-122.870308
46,,1,2,Valve,1000273251,3112,1113010009,,In Service,,,Metro Vancouver,,,,,,,,,20020425,20170413,49.184208,-122.913110
47,,1,2,Valve,1000273437,7609,1478709582,,In Service,,,Metro Vancouver,,,,,,,,,20020429,20170413,49.176353,-122.812177
48,,1,2,Valve,1000273455,7627,1478109525,,In Service,,,Metro Vancouver,,,,,,,,,20020429,20170413,49.175327,-122.812336
49,,1,2,Valve,1000273964,10583,1236507243,,In Service,,,Metro Vancouver,,,,,,,,,20020501,20170413,49.134111,-122.879137
50,,1,2,Valve,1000274010,23064,1277307227,,In Service,,,Surrey,,,,,,,,,20040401,20170413,49.133827,-122.867875
51,,1,2,Valve,1000274541,12083,1236706422,,In Service,,,Metro Vancouver,,,,,,,,,20020501,20170413,49.119257,-122.879103
52,,1,2,Valve,1000274542,12084,1257106419,,In Service,,,Metro Vancouver,,,,,,,,,20020501,20170413,49.119206,-122.873483
53,,1,2,Valve,1000275091,16241,1431303910,,In Service,,,Metro Vancouver,,,,,,,,,20020502,20170413,49.073748,-122.825610
54,,1,2,Valve,1000275191,23713,1433503710,,In Service,1200-3050-00,2005,Surrey,,,Final AB,,,,,,20050729,20170413,49.070099,-122.825018
55,,1,2,Valve,1000275413,16941,1400602362,,In Service,,,Surrey,,FT02178,,,,,,,20020502,20170413,49.045744,-122.834169
56,,1,2,Valve,1000275423,16951,1439902764,,In Service,,,Metro Vancouver,,,,,,,,,20020502,20170413,49.053001,-122.823340
57,,1,2,Valve,1000275730,23286,1663802333,,In Service,WF-2556,1999,Metro Vancouver,,SEE ALSO GVW-125-028 TO 030,Final AB,,,,,,20040914,20170413,49.045085,-122.761735
58,,1,2,Valve,1000276495,21167,1338110830,,In Service,,,Surrey,,,,,,,,,20020918,20170413,49.198991,-122.850921
59,,1,2,Valve,1000276496,21168,1336610895,,In Service,7889-0435-00,,Surrey,,,,,,,,,20020918,20170413,49.200179,-122.851325
60,,1,2,Valve,1000277747,10071,1640308311,,In Service,,,Metro Vancouver,,,,,,,,,20020430,20170413,49.153272,-122.767690
61,,1,0,Pressure Reducing,1000278161,11324,1439107614,,In Service,,,Surrey,7596 144 ST,Secondary - (144 & 76 Ave),,,,,,,20020501,20170413,49.140763,-122.823243
62,,1,2,Valve,1000278411,20479,1919006451,,In Service,1200-5030-04,2001,Metro Vancouver,,SEE W-068-054,Final AB,,,,,,20020502,20170413,49.119443,-122.691008
63,,1,2,Valve,1000278461,22946,1919307227,,In Service,WF-2611,1999,Metro Vancouver,,SEE ALSO WD-068-061 TO 63,Final AB,,,,,,20031215,20170413,49.133479,-122.690841
64,,1,0,Pressure Reducing,1001416145,,1640209535,,Proposed,1209-5010-00,,Surrey,,,EC,,,,,,20120618,20120618,49.175428,-122.767607
65,,1,0,Pressure Reducing,1000267363,2731,1459211677,,Abandoned,,1978,Surrey,14590 116A AVE,"Abandoned April 2017, New PRV at 116 Ave/Surrey Rd",Final AB,,,,,,20020424,20170721,49.214260,-122.817414
66,,1,2,Valve,1000278497,23616,1904907225,,In Service,WF-1456,1998,Metro Vancouver,,SEE ALSO WD-058-007,Final AB,,,,,,20050429,20170413,49.133456,-122.694817
67,,1,2,Valve,1000278801,14166,1294805605,,In Service,,,Metro Vancouver,,,,,,,,,20020502,20170413,49.104463,-122.863128
68,,1,2,Valve,1000278957,13957,1378606016,,In Service,,,Surrey,,,,,,,,,20020502,20170413,49.111875,-122.840003
69,,1,2,Valve,1000279342,17127,1460202361,,In Service,,,Surrey,,,,,,,,,20020503,20170413,49.045694,-122.817775
70,,1,2,Valve,1000279773,20266,1572602360,,In Service,1297-5090-00,2000,Surrey,,SEE WD-114-033,Final AB,,,,,,20020709,20170413,49.045631,-122.786825
