,DESCRIPTION,PLAN_NO,PROJECT_NO,PURPOSE,ROW_NO,ROW_TYPE2,STATUS,WIDTH,YR
3021,PTN LTS 3 & 4 PL LMP6667,LMP6668,7891-0214,Restrictive Covenant,E078-0099,Municipal Right of Way,Registered,9,1992
3022,PTN LTS 1 & 2 PL LMP6667,LMP6669,6091-0214,Restrictive Covenant,E078-0070,Municipal Right of Way,Registered,7.5,1992
3023,PTN LTS 35 & 52 PL LMP34846 (LMP44359),LMP34851,7893-0222,3rd Party Agreement,E067-0018,Municipal Right of Way,Registered,3,1997
3024,"PTN LTS 7, 11 & 12 PL BCP12721",BCP26481,7805-0360,3rd Party Agreement,E118-0006,Municipal Right of Way,Registered,VAR,2008
3025,PTN LT 9 PL EPP31532,EPP32425,7812-0160-00,3rd Party Agreement,E108-0003,Municipal Right of Way,Registered,8.0,2013
3026,PTN LT 1 LMP45483,LMP45485,7998-0096,3rd Party Agreement,E098-0001,Municipal Right of Way,Registered,18.28,2000
3027,PTN LTS 2-4 & 7 PL LMP14089,LMP14090,7892-0343,3rd Party Agreement,E088-0004,Municipal Right of Way,Registered,VAR,1993
3028,PTN LT 8 PL LMP14089,LMP14091,7892-0343,Restrictive Covenant,E088-0010,Municipal Right of Way,Registered,0,1993
3029,PTN LT 6 PL LMP14089,LMP14091,7892-0343,Restrictive Covenant,E088-0010,Municipal Right of Way,Registered,0,1993
3030,PTN LT 5 PL LMP14089,LMP14091,7892-0343,Restrictive Covenant,E088-0010,Municipal Right of Way,Registered,0,1993
