,ANCILLARYROLE,ENABLED,VALVE_TYPE,VALVE_TYPE2,FACILITYID,LEGACYID,NODE_NO,VALVE_SIZE,MAKE,MODEL,CORROSION_PROTECTED,DISASTER_CONTROL,GEARED,PRESSURE_ZONE_VALVE,RESTRAINED,NO_TURNS,STATUS,OPERATING_STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,ROTATION,Latitude,Longitude
7874,,1,2,Gate,1001126571,,1624508038,200,,,No,No,No,No,No,26,In Service,Open,7805-0358-00,2008,Surrey,162A ST & 80 AVE,North-most valve,Final AB,,,,,,20090625,20110922,,49.148345,-122.772079
7875,,1,2,Gate,1000277374,8638,1316508263,250,,,,,,,,,In Service,Open,W107,1982,Surrey,,,,,,,,,20020430,20090416,,49.152551,-122.857010
7876,,1,2,Gate,1000277375,8639,1316608416,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020430,,,49.155326,-122.856979
7877,,1,2,Gate,1000277376,8640,1316708321,300,,,,,,,,,In Service,Open,W107,1982,Surrey,,,,,,,,,20020430,20090416,,49.153600,-122.856965
7878,,1,2,Gate,1000277377,8641,1316708264,300,,,,,,,,,In Service,Open,,1982,Surrey,,,,,,,,,20020430,20090416,,49.152569,-122.856956
7879,,1,2,Gate,1000277382,8646,1335208513,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020430,,,49.157065,-122.851834
7880,,1,2,Gate,1000277387,8651,1297708413,300,,,,,,,,,In Service,Open,7889-0164-01,,Surrey,,,Final AB,,,,,,20020430,20090408,,49.155266,-122.862184
7881,,1,2,Gate,1000277388,8652,1286108422,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020430,,,49.155442,-122.865395
7882,,1,2,Gate,1000277389,8653,1292108423,300,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020430,20090408,,49.155450,-122.863748
7883,,1,2,Gate,1000276012,14385,1490005810,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,,,49.108092,-122.809336
7884,,1,2,Gate,1000276013,14386,1488305750,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,,,49.107005,-122.809805
7885,,1,2,Gate,1000276014,14387,1489805776,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,,,49.107475,-122.809372
7886,,1,2,Gate,1000276015,14388,1487505743,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,,,49.106877,-122.810009
7887,,1,2,Gate,1000276016,14389,1487305718,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,,,49.106440,-122.810064
7888,,1,2,Gate,1000276019,14393,1487105696,200,,,,,,,,,Abandoned,Closed,7803-0118-00,2004,Surrey,,,,,,,,,20041109,,,49.106034,-122.810132
7889,,1,2,Gate,1000275683,19291,1660401771,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020503,,,49.034930,-122.762695
7890,,1,2,Gate,1000275684,19292,1657801805,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020503,,,49.035547,-122.763405
7891,,1,2,Gate,1000275685,19293,1654901875,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020503,,,49.036812,-122.764198
7892,,1,2,Gate,1000275688,19296,1672601866,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020503,,,49.036643,-122.759339
7893,,1,2,Gate,1000275689,19297,1669901957,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020503,,,49.038290,-122.760069
7894,,1,2,Gate,1000275701,19309,1612401556,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020503,,,49.031050,-122.775937
7895,,1,2,Gate,1000275705,19313,1601001729,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020503,,,49.034232,-122.779098
7896,,1,2,Gate,1000275719,20321,1601401953,300,,,,,,,,,In Service,Closed,1200-6030-00,2001,Surrey,,,Final AB,,,,,,20020710,,,49.038247,-122.778924
7897,,1,2,Gate,1000275722,21241,1616001543,300,,,,,,,,,In Service,Open,1297-505,1997,Surrey,,,Final AB,,,,,,20020503,,,49.030817,-122.774945
7898,,1,2,Gate,1000275724,21243,1615701543,300,,,,,,,,,In Service,Open,1297-505,1997,Surrey,,,Final AB,,,,,,20020503,,,49.030824,-122.775029
7899,,1,2,Gate,1000275725,21244,1600901728,150,,,,,,,,,In Service,Open,1297-505,1997,Surrey,,,Final AB,,,,,,20020503,,,49.034183,-122.779089
7900,,1,2,Gate,1000273638,21573,1700008102,200,,,,,,,,,In Service,Open,7800-0353-00,2002,Surrey,,,Final AB,,,,,,20030121,20071221,,49.149452,-122.751241
7901,,1,2,Gate,1000273639,21574,1702308033,250,,,,,,,,,In Service,Open,7800-0353-00,2002,Surrey,,,Final AB,,,,,,20030121,20071221,,49.148218,-122.750621
7902,,1,2,Gate,1000277396,8660,1343708373,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020430,,,49.154535,-122.849501
7903,,1,2,Gate,1000277398,8662,1336608418,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020430,,,49.155348,-122.851470
