,ANCILLARYROLE,ENABLED,NODE_TYPE,NODE_TYPE2,FACILITYID,LEGACYID,LOCATION,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CONDITION_NOTATION,LAST_INSP_DATE,ROTATION,STRUCTURE_TYPE,SPAN_SUPPORTS,CRE_DATE,MOD_DATE,STATUS,YR,OWNER,PROJECT_NO,GIS_ENTRY_STAGE,COMMENTS,Latitude,Longitude
128,0,1,0,Air Valve Assembly,1001795839,,,,,,,,,,,,,20141104,,In Service,2014,Surrey,4709-5070-00,Final AB,,49.211822,-122.859042
129,0,0,0,Air Valve Assembly,1000837892,,102 Ave & City Parkway,,,,,,Out of service,,,,,20071128,20130128,Abandoned,,,,,,49.188008,-122.847613
130,0,1,6,Pipe Bridge,1001174253,,,,,,,,,,,,,20100929,20100929,In Service,1974,Surrey,3348,Final AB,,49.210295,-122.829559
131,0,1,7,P Trap,1001885391,,,,,,,,,,90,,,20160729,20160729,In Service,2006,Surrey,7803-0268-00,Final AB,,49.055695,-122.816166
132,0,1,0,Air Valve Assembly,1000838560,,,,,,,,,,,,,20071207,,In Service,,,,,,49.067355,-122.795474
133,0,1,7,P Trap,1001885374,,,,,,,,,,90,,,20160729,20160729,In Service,2011,Surrey,7806-0137-00,Final AB,Inverted P Trap,49.055944,-122.790170
134,0,1,0,Air Valve Assembly,1001583415,,,,,,,,,,,,,20130402,20130402,In Service,2013,Surrey,FT00567,Final AB,,49.023726,-122.779128
135,0,1,7,P Trap,1001885437,,,,,,,,,,90,,,20160729,20160729,In Service,2012,Surrey,7810-0020-00,Final AB,,49.053901,-122.778100
136,0,1,7,P Trap,1001951724,,,,,,,,,,,,,20171017,20171017,In Service,2017,Surrey,7815-0183-00,Final AB,,49.054994,-122.764057
137,0,1,7,P Trap,1001885370,,,,,,,,,,90,,,20160729,,In Service,,Surrey,,Final AB,,49.158092,-122.752184
138,0,1,0,Air Valve Assembly,1001119034,,17000 4th Ave,,,,,,,,,,,20090402,20130128,In Service,,,,,,49.009389,-122.751714
139,0,1,5,Odour Control Device,1001562828,,Douglas pump station odour control,,,,,,,,,,,20130111,20130128,In Service,2012,Surrey,,Final AB,,49.005400,-122.749894
140,0,1,0,Air Valve Assembly,1001161096,,4307 184th St,,,,,,,,,,,20100520,20130128,In Service,2009,Surrey,4707-2040-00,Final AB,,49.080478,-122.713506
141,0,1,0,Air Valve Assembly,1001161095,,4307 184th St,,,,,,,,,,,20100520,20130128,In Service,2009,Surrey,4707-2040-00,Final AB,,49.080482,-122.713506
142,0,1,0,Air Valve Assembly,1001161158,,,,,,,,,,,,,20100520,20100520,In Service,2009,Surrey,4707-2040-00,Final AB,Enclosed in 2100 Steel Kiosk,49.084831,-122.713355
143,0,1,5,Odour Control Device,1001198192,,196th North of Colebrook GVRD,,,,,,,,,,,20110518,20140509,In Service,2007,Metro Vancouver,S-3069,Final AB,,49.093897,-122.679664
