,DEVICE_TYPE,DEVICE_TYPE2,FACILITYID,LEGACYID,MATERIAL,YEAR_BUILT,ROTATION,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
661,7,Speed Hump,1001075272,109,Asphalt,2007,45,In Service, ,2007,Surrey,109, ,Final AB,,,,,,,20081212,49.149862,-122.808798
662,7,Speed Hump,1001075256,169,Asphalt,,0,In Service, ,,Surrey,169,TC05-68,Final AB,,,,,,,20110726,49.164533,-122.873570
663,7,Speed Hump,1001075218,170,Asphalt,,0,In Service, ,,Surrey,170, ,Final AB,,,,,,,20110726,49.164749,-122.873568
664,7,Speed Hump,1001075190,171,Asphalt,,0,In Service, ,,Surrey,171, ,Final AB,,,,,,,20110726,49.166325,-122.873606
665,7,Speed Hump,1001205330,,Asphalt,2011,,In Service,7807-0137-00,2011,Surrey,,,Final AB,,,,,,20110729,20110729,49.043463,-122.792723
666,7,Speed Hump,1001885345,,Asphalt,,,In Service,,,Surrey,,,,,,,,,20160729,20160729,49.119266,-122.744684
667,7,Speed Hump,1001595567,,Asphalt,,,Proposed,7815-0351-00,,Surrey,,,EC,,,,,,20130517,20160805,49.134049,-122.684173
668,7,Speed Hump,1001166633,,Asphalt,2009,,In Service,7805-0384-00,2010,Surrey,Lane SW of 67 Ave & 191A St,,Final AB,,,,,,20100707,20100712,49.124683,-122.694500
669,7,Speed Hump,1001144987,,Asphalt,2009,,In Service,7807-0321-00,2009,Surrey,Lane between 1965 128 St & 1968 127A St,,Final AB,,,,,,20100106,20100712,49.037999,-122.868232
670,10,Traffic Closure Gate,1001161384,,,2009,,In Service,7804-0411-00,2009,Surrey,SE Cor of 0 Ave & 174 St,,Final AB,,,,,,20100521,20100712,49.002155,-122.741047
671,7,Speed Hump,1001143224,,Asphalt,2009,,In Service,7806-0205-00,2009,Surrey,Lane SE of 68 Ave & 193B St,,Final AB,,,,,,20091210,20100712,49.125906,-122.686069
672,7,Speed Hump,1001213754,,Asphalt,2010,,In Service,7808-0063-00,2011,Surrey,,,Final AB,,,,,,20110920,20110920,49.136275,-122.690074
673,7,Speed Hump,1001886997,,Asphalt,2016,,In Service,,,Surrey,,,,,,,,,20160816,20160816,49.067001,-122.793687
674,7,Speed Hump,1001902468,,Asphalt,2016,,In Service,7811-0029-00,2016,Surrey,,,Final AB,,,,,,20170117,20170117,49.040831,-122.767609
675,3,Raised Crosswalk,1001075350,30,Asphalt,2005,356,In Service, ,2005,Surrey,30, ,Final AB,,,,,,,20100902,49.061620,-122.790178
676,3,Raised Crosswalk,1001075175,19,Asphalt,2005,358,In Service, ,2005,Surrey,19, ,Final AB,,,,,,,20100902,49.071879,-122.787382
677,7,Speed Hump,1001144326,,Asphalt,2010,,In Service,7806-0118-00,2010,Surrey,Lane NE of 21 Ave & 128 St,,Final AB,,,,,,20091222,20110708,49.040070,-122.866814
678,7,Speed Hump,1001171148,,Asphalt,,,In Service,7806-0009-00,2010,Surrey,Lane E/O 59A Ave & 183A St,,Final AB,,,,,,20100827,20110708,49.110467,-122.713354
679,4,Raised Intersection,1001180513,,Concrete,2009,,In Service,7804-0411-00,2009,Surrey,1 Ave & 173 St,,Final AB,,,,,,20101104,20110708,49.004171,-122.743930
680,4,Raised Intersection,1001180598,,Asphalt,2009,,In Service,7804-0411-00,2009,Surrey,2 Ave & 173 St,,Final AB,,,,,,20101104,20110708,49.005550,-122.743955
681,7,Speed Hump,1001212838,,Asphalt,2010,,In Service,7807-0086-00,2010,Surrey,,,Final AB,,,,,,20110914,20110914,49.135755,-122.684468
682,7,Speed Hump,1001144836,,Asphalt,,,In Service,MOTH 71101-2005,2007,Surrey,,,Final AB,,,,,,20100104,20100105,49.110709,-122.735684
683,7,Speed Hump,1001144837,,Asphalt,,,In Service,MOTH 71101-2005,2007,Surrey,,,Final AB,,,,,,20100104,20100105,49.110370,-122.735676
684,2,Diverter,1001075259,203,Concrete,,0,In Service, ,,Surrey,203, ,Final AB,,,,,,,20111130,49.202804,-122.863338
685,7,Speed Hump,1001902469,,Asphalt,2016,,In Service,7811-0029-00,2016,Surrey,,,Final AB,,,,,,20170117,20170117,49.041276,-122.767780
686,9,Traffic Circle,1001075148,192,Concrete,2007,0,In Service,3805-5500-01,2007,Surrey,111 Ave & 132 St, ,Final AB,,,,,,,20151005,49.204687,-122.856404
687,7,Speed Hump,1001856136,,Concrete,,,In Service,,,Surrey,,Digitized via 2015 image,,,,,,,20160128,,49.123169,-122.868532
