,ADDRESS,COLLECTION_DAY,COMPLEX_NAME,CRE_DATE,MOD_DATE,NO_OF_UNITS
44,3495 - 147A St.,Monday,Elgin Brook Lane,20081014,20131023,18
45,2300 148 St,Monday,Sunnyside Park - Heather Lane,20131023,20131023,6
46,14855-100 Ave,Thursday,Hampstead Mews,,,64
47,14905 60 Ave,Tuesday,The Grove at Cambridge,20161229,20161229,
48,5957 152 St,Tuesday,Panorama Station,20131121,20131121,34
49,15152-62A Ave,Tuesday,Uplands,,20130912,123
50,15439 100 Ave,Thursday,Plum Tree Lane,20121012,20131023,16
51,10054-10074-154 St,Thursday,Woodland Grove,,20131023,34
52,3009 156 st,Monday,Kallisto,20110210,20131023,73
53,10130-155 St,Thursday,Brighton Green,,,34
54,2345-Cranely Dr.,Monday,La Mesa,,,78
55,2729 158 St,Monday,Kaleden,20121012,20131017,187
56,8676-158 St,Wednesday,Springfield Village,20100823,20100823,79
57,8655-159 St,Wednesday,Springfield Court,,,73
58,15959-82 Ave,Wednesday,Cherry Tree Lane,,,62
59,8428 - Venture Way,Wednesday,Summerwood  Townhouses,,,54
60,15933 - 86A Ave.,Wednesday,Serenity Garden,20081014,20081014,40
61,8638-159 St,Wednesday,The Sagewood,,,73
62,8726-159 St,Wednesday,Fleetwood Green,,,48
63,16228 16 Ave,Monday,Pier,20121008,20121008,31
64,16177-83 Ave,Wednesday,Veranda II,,,87
65,8418 163 St,Wednesday,Maple,20121008,20121008,54
