,ADDRESS,COLLECTION_DAY,COMPLEX_NAME,CRE_DATE,MOD_DATE,NO_OF_TOTE,NO_OF_UNITS
140,15020 66A AVE,Tuesday,SULLIVAN MEWS,,20180125,7,90
141,14355 57 AVE,Tuesday,RCMP,,20180125,3,1
142,6651 148 ST,Tuesday,WORKS YARD TOTERS,,20180125,7,1
143,2845 156 ST,Monday,THE HEIGHTS TOWER,20180125,20180125,1,
144,16855 24 AVE,Monday,GRANDVIEW HEIGHTS,20180125,20180125,2,
145,2016 176 ST,Monday,FIRE HALL 14,20180125,20180125,5,1
146,13742 72 AVE,Tuesday,SPL LIBRARY ADMINISTRATION,,20180125,2,1
147,13730 72 AVE,Tuesday,NEWTON WAVE POOL,,20180125,1,1
148,8078 KING GEORGE BLVD,Tuesday,BRAESIDE,,20180125,5,23
149,13905 70 AVE,Tuesday,UPTON PLACE SOUTH,,20180125,6,139
150,7505 138 ST,Tuesday,MIDTOWN VILLAS,,20180125,3,54
151,7141 122 ST,Tuesday,KIRKBRIDGE PLACE,,20180125,3,24
152,13990 74 AVE,Tuesday,WEDGEWOOD ESTATES,,20180125,22,140
153,13750 88 AVE,Tuesday,SURREY ARTS CENTER,,20180125,3,1
154,10584 153 ST,Friday,GLENWOOD VILLAGE,,20170616,6,52
155,17700 58 AVE,Wednesday,ELIZABETH MANOR,,20170616,3,25
156,13262 72 AVE,Tuesday,GLYN HAVEN,,20170616,6,1
157,17788 57 AVE,Wednesday,THE BENBURY,,20170616,3,35
158,13330 70B AVE,Tuesday,SUNCREEK,,20170616,3,0
159,15338 18 AVE,Monday,PARKVIEW GARDENS,,20170616,3,21
160,13364 102 AVE,Thursday,THORNBURY MANOR,,20170616,3,53
161,12733 72 AVE,Tuesday,SAVOY,,20170616,18,126
162,19528 FRASER HWY,Wednesday,THE FAIRMOUNT,,20170616,8,110
163,6747 137 ST,Tuesday,PRIMROSE,,20170616,3,39
164,15375 17 AVE,Monday,CARMEL PLACE,,20170616,3,21
165,14918 108 AVE,Friday,REGENT PLACE,,20170616,6,101
166,14831 104 AVE,Friday,GREENWOOD GARDENS,,20170616,4,183
167,9825 140 ST,Thursday,GREEN TIMBERS #2,,20170616,3,57
168,7838 120A ST,Tuesday,CAMUS GARDENS,,20170616,10,48
169,10626 151A ST,Friday,LINCOLN HILL,,20170616,30,100
170,13771 72A AVE,Tuesday,NEWTON PLAZA,,20170616,6,27
171,1952 152A ST,Monday,CHATEAU GRACE,,20170616,3,29
172,13630 84 AVE,Tuesday,TRAILS AT BEAR CREEK,,20170616,22,114
173,2239 152 ST,Monday,SEMIAHMOO EST,,20170616,6,58
174,13032 104 AVE,Thursday,PARKSIDE APTS,,20170616,3,8
175,15840 84 AVE,Wednesday,FLEETWOOD GABLE,,20170616,6,51
176,10038 150 ST,Friday,MAYFAIR GREEN,,20170616,9,111
177,15290 18 AVE,Monday,STRATFORD,,20170616,3,21
178,13939 LAUREL DR,Thursday,KING GEORGE MANOR,,20170616,6,81
179,7540 138 ST,Tuesday,PARKWOOD,20131115,20180125,3,14
180,7399 122 ST,Tuesday,STRAWBERRY HILL LIBRARY,20140204,20180125,1,1
181,13795 70 AVE,Tuesday,NEWTON LIBRARY,20140204,20180125,2,1
182,7156 121 ST,Tuesday,GLENWOOD VILLAGE,20171023,20180125,4,
183,7011 134 ST,Tuesday,GREENBROOK,20171023,20180125,21,
184,12125 75A AVE,Tuesday,STRAWBERRY HILL ESTATES 2,,20180125,6,62
185,7775 120A ST,Tuesday,JENNINGS PLACE,,20180125,3,52
186,7435 121A ST,Tuesday,STRAWBERRY HILL ESTATES 1,,20180125,5,65
187,6247 121 ST,Tuesday,BOUNDARY PARK GARDENS,,20180125,3,54
188,12101 80 AVE,Tuesday,SURREY TOWN MANOR,,20180125,5,94
189,8142 120A ST,Tuesday,STERLING COURT,,20180125,"4
4",75
190,6445 120 ST,Tuesday,SUNSET GROVE 2,,20180125,5,25
191,12110 80 AVE,Tuesday,LA COSTA GREEN,,20180125,13,150
192,6557 121 ST,Tuesday,LAKEWOOD TERRACE,,20180125,6,103
193,16068 83 AVE,Wednesday,FLEETWOOD GARDENS,,20180125,3,46
194,17445 57 AVE,Wednesday,RODEO PARK,,20180125,6,1
195,9688 148 ST,Friday,HARTFORD WOOD,,20180125,20,236
196,10308 155A ST,Wednesday,PADDINGTON PLACE,,20180125,3,22
197,18915 64 AVE,Wednesday,FIRE HALL 15,,20180125,1,1
198,14861 98 AVE,Wednesday,THE MANSION,,20180125,9,74
199,8091 164 ST,Wednesday,FIRE HALL 18,,20180125,1,1
200,17700 60 AVE,Wednesday,CLOVERPARK GARDENS,,20180125,9,111
201,6220 184 ST,Wednesday,DON CHRISTIAN RECREATION CENTRE,,20180125,1,1
202,9049 152 ST,Wednesday,FIRE HALL 6,,20180125,1,1
203,10186 155 ST,Wednesday,THE SOMMERSET,,20180125,12,116
204,5906 176A ST,Wednesday,WYNDHAM ESTATES,,20180125,"2
2",93
205,17710 56A AVE,Wednesday,SURREY MUSEUM,,20180125,2,1
206,9353 160 ST,Wednesday,NORTH DEPOT,,20180125,2,1
207,5668 176A ST,Wednesday,LA PARISA,,20180125,3,11
208,17222 57 AVE,Wednesday,LA CASA CO-OP,,20180125,8,40
209,9970 148 ST,Wednesday,HIGHPOINT GARDENS,,20180125,6,72
210,9910 148 ST,Wednesday,HIGHPOINT COURT,,20180125,6,54
211,9940 151 ST,Wednesday,WESTCHESTER PLACE,,20180125,42,154
212,5642 176A ST,Wednesday,CLOVERDALE LIBRARY,,20180125,2,1
213,10128 132 ST,Thursday,MELROSE GARDENS,,20170616,3,58
214,14885 100 AVE,Friday,THE DORCHESTER,,20170616,4,63
215,14915 100 AVE,Friday,FOREST MANOR #2,,20170616,15,172
216,16065 83 AVE,Wednesday,FAIRFIELD HOUSE,,20170616,7,35
217,17695 58 AVE,Wednesday,CARRIAGE HOUSE,,20170616,3,38
218,15002 26 AVE,Monday,SUNNYSIDE,,20170616,3,30
