,CRE_DATE,MOD_DATE,PLAN_NO,PLAN_NO_ID
961,20130312,20130312,PPEPP26378,81888
962,,,H-84149,78051
963,,,B-51061,77569
964,,,30379,77227
965,,,K-78319,78206
966,,,F-51481,
967,20170713,20170713,PPEPP59752,39109
968,,,U-28959,78997
969,,,L-15861,78267
970,,,J-128539,78130
971,,,T-87732,78934
972,,,G-7025,77969
973,,,65093,77211
974,,,F-34149,77932
975,,,W-17014,79038
976,,,W-41956,79055
977,,,Z-156090,79221
978,,,S-43473,78829
979,,,W-150906,79094
980,,,P-64733,78663
981,,,D-25284,77794
982,,,LMP 10283,78368
983,,,S-68243,78843
984,,,U-35362,79005
985,,,T-103065,78955
986,,,R-33958,78708
987,,,S-25619,78818
988,,,L-57844,78283
989,,,Z-147766,79218
990,,,F-54936,77948
991,,,H-93983,78054
992,,,T-60096,78909
993,,,T-111243,78968
994,,,D-25280,77792
995,,,D-65145,77830
996,,,J-155831,78142
997,,,K-110317,78237
998,20111206,20111206,EPP15232,79807
999,,,60964,77164
1000,,,R-88898,78750
1001,,,R-88897,78749
1002,,,N-115513,78628
1003,,,L-105688,78324
1004,,,X-57094,79120
1005,,,N-50934,78589
1006,,,T-45148,78892
1007,,,T-22384,78887
1008,20130617,20130617,LMP32886,35875
1009,,,R-8471,78691
1010,,,BCP 8158,77652
1011,,,C-26182,77742
1012,,,BE-192484,77696
1013,,,N-22254,78581
1014,,,R-107077,78760
1015,,,20735 E,
1016,,,66263,77223
1017,,,R-13117,78696
1018,,,U-32434,78999
1019,,,H-50536,78041
1020,,,D-69402,77836
1021,,,M-53423,78554
1022,,,87420,77464
1023,,,G-41061,77980
1024,,,K-75410,78205
1025,,,J-112871,78125
1026,,,Z-95171,79209
1027,,,J-24657,78089
1028,,,H-114640,78068
1029,,,R-102179,78758
1030,,,D-37283,77809
1031,,,M-17480,78544
1032,,,J-48200,78099
1033,,,T-93323,78943
1034,,,Y-169849,79191
1035,,,46502,77105
1036,,,87996,78791
1037,,,62345,77181
1038,,,A-10202,77485
1039,,,N-17183,78579
1040,,,F-40844,77941
1041,,,A-7389,77484
1042,20121016,20121016,PPEPP21753,81402
1043,,,K-112389,78245
1044,,,NWP 88393,78801
1045,,,BCP 3329,77623
1046,,,77900,77295
1047,,,B-41730,77557
1048,,,B-23597,77545
1049,,,T-63793,78916
1050,,,N-67063,78593
1051,,,S-150274,78876
1052,,,P.P. 22-2,77016
1053,,,B-42004,77561
1054,,,E-20882,77868
1055,,,63481,77193
1056,,,D-55826,77823
1057,,,LMP 2938,78329
1058,,,X-117369,79144
1059,,,F-2,
1060,20121016,20121016,PPEPP23562,81411
1061,,,K-64394,78193
1062,,,E-79767,77914
1063,,,A-28798,77501
1064,,,L-109173,78327
1065,20170718,20170718,PPEPP48916,39106
1066,,,R-127708,78780
1067,,,D-53922,77822
1068,,,H-120367,78071
1069,20140508,20140508,PPBCP42723,84606
1070,,,P.P. 42-2,77030
1071,,,K-58923,78188
1072,,,W-17099,79040
1073,,,78552,77301
1074,,,T-118700,78973
